% Model:              FCC-ee, Allegro, MM, 4.5 m, 2 layers, 5 modules, stray magnetic field evaluation, 22-4-26.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 24 2026, 15:19
% Dimension:          2
% Nodes:              6561
% Expressions:        2
% Description:        Magnetic flux density, r-component, Magnetic flux density, z-component
% Length unit:        m
% r                       z                        mf.Br (T)                mf.Bz (T)
4.1000000000000005        0.30000000000000004      0.04261686348800638      -2.2035587092520705
4.2                       0.30000000000000004      0.038693481945401904     -0.12630681095683505
4.3                       0.30000000000000004      0.0347732420015569       -2.1877106916473408
4.4                       0.30000000000000004      0.03114596861638639      -2.179388175287426
4.5                       0.30000000000000004      0.0275238605392608       -0.11021262535285811
4.6000000000000005        0.30000000000000004      0.024262767332211214     -2.1671360937371027
4.7                       0.30000000000000004      0.02140472156262473      -0.09914446399254141
4.800000000000001         0.30000000000000004      0.01905954504044516      -0.09264757118311538
4.9                       0.30000000000000004      0.016928422420167323     -0.08689537517243005
5                         0.30000000000000004      0.015132387029265539     -0.0817535743097519
5.1000000000000005        0.30000000000000004      0.013535427211146792     -0.07715174845061144
5.2                       0.30000000000000004      0.012173095348850676     -0.07301850995722307
5.300000000000001         0.30000000000000004      0.010991979805278154     -0.06926192981447012
5.4                       0.30000000000000004      0.009964145785870864     -0.0659046136705749
5.5                       0.30000000000000004      0.00923024646147978      -0.06271637502376913
5.6000000000000005        0.30000000000000004      0.00837864482532599      -0.06008213280907011
5.7                       0.30000000000000004      0.007835985083037181     -0.05744901494250948
5.800000000000001         0.30000000000000004      0.006925811954104947     -0.05499943469018448
5.9                       0.30000000000000004      0.006505789961371751     -0.05287666578224022
6                         0.30000000000000004      0.006099768701729716     -0.05082465583789486
6.1000000000000005        0.30000000000000004      0.005707059614535134     -0.048839924908117574
6.2                       0.30000000000000004      0.0053306549776444894    -0.047198414279538754
6.300000000000001         0.30000000000000004      0.005053077192186306     -0.045318687941841705
6.4                       0.30000000000000004      0.004762544785216734     -0.043759488319215153
6.5                       0.30000000000000004      0.004480951836923097     -0.04224826406959189
6.6000000000000005        0.30000000000000004      0.004207892008274595     -0.04078283449419968
6.7                       0.30000000000000004      0.004030485062540076     -0.039429512347010275
6.800000000000001         0.30000000000000004      0.0038996040314222017    -0.03808536040727046
6.9                       0.30000000000000004      0.0037725166533803542    -0.03678016939332002
7                         0.30000000000000004      0.0036312605307303415    -0.035616464381282124
7.1000000000000005        0.30000000000000004      0.0034245276541203197    -0.034476263392700525
7.2                       0.30000000000000004      0.0032235373574161516    -0.033367734653801856
7.300000000000001         0.30000000000000004      0.003097860486202903     -0.032217629256315015
7.4                       0.30000000000000004      0.002999631128964361     -0.03120333000895681
7.5                       0.30000000000000004      0.0029040212212523434    -0.030216078741528242
7.6000000000000005        0.30000000000000004      0.002810927363743138     -0.02925480777061084
7.7                       0.30000000000000004      0.002720251528506936     -0.028318504876860138
7.800000000000001         0.30000000000000004      0.0026319007146870135    -0.027406209749616037
7.9                       0.30000000000000004      0.0025939294503381873    -0.026739739687482778
8                         0.30000000000000004      0.002427914231755847     -0.025930852536682845
0                         0.4                      0.001506052442547423     1.9933876877623946
0.1                       0.4                      0.005286068155157296     1.9980698768535459
0.2                       0.4                      0.010551755582745292     1.9999631231721517
0.30000000000000004       0.4                      0.015476574156490687     2.0032324105292454
0.4                       0.4                      0.020840962504847793     2.0074392010834656
0.5                       0.4                      0.02620512380419715      2.0135285652796004
0.6000000000000001        0.4                      0.03148023304364737      2.0207258685864
0.7000000000000001        0.4                      0.03679143120805987      2.0291735031550227
0.8                       0.4                      0.042149796464485134     2.038952688143787
0.9                       0.4                      0.04754543350556201      2.05008564207474
1                         0.4                      0.05297070581352159      2.062583553044856
1.1                       0.4                      0.05841796966939841      2.0764608842853134
1.2000000000000002        0.4                      0.06387092726866031      2.0917257160479
1.3                       0.4                      0.06931066226678369      2.108386253240377
1.4000000000000001        0.4                      0.07471274674468728      2.1264448412678525
1.5                       0.4                      0.0800467434087236       2.14589673254662
1.6                       0.4                      0.08527607453303832      2.1667276620013953
1.7000000000000002        0.4                      0.09035828699145548      2.1889104337116754
1.8                       0.4                      0.09524601546849433      2.212399895871546
1.9000000000000001        0.4                      0.09988896850726435      2.2371255039006854
2                         0.4                      0.10423998909243792      2.2629786941860424
2.1                       0.4                      0.10826447835677401      2.289790174410941
2.2                       0.4                      0.11196118811933205      2.317283368006506
2.3000000000000003        0.4                      0.11540247395239552      2.3449829158510394
2.4000000000000004        0.4                      0.11885208075792518      2.3720423236950396
2.5                       0.4                      0.12287332749052099      2.3968529052311935
2.6                       0.4                      0.12904806936654709      2.416081081221947
2.7                       0.4                      0.14428701140972136      2.4209760039271337
2.8000000000000003        0.4                      0.2043272863028278       2.388828014520275
2.9000000000000004        0.4                      0.31011606527023367      1.2174897084831766
3                         0.4                      0.24628035807108023      -0.16250222910908474
3.1                       0.4                      0.14301120026674094      -0.20868866308877754
3.2                       0.4                      0.11988015362675242      -2.281984223516993
3.3000000000000003        0.4                      0.10830717529422668      -0.20732395678380455
3.4000000000000004        0.4                      0.09977313696340923      -2.267505013318046
3.5                       0.4                      0.09241414388711588      -2.259102141896473
3.6                       0.4                      0.08590797005082634      -0.17589521418606247
3.7                       0.4                      0.07962050055188793      -2.237848960420202
3.8000000000000003        0.4                      0.07373433143437474      -2.225762471650946
3.9000000000000004        0.4                      0.0678679638373325       -0.14803388791163702
4                         0.4                      0.06230585322077786      -2.20677542717209
4.1000000000000005        0.4                      0.05672184868127615      -2.1996253291908996
4.2                       0.4                      0.05146306447411742      -0.1231954710431859
4.3                       0.4                      0.04617706162043548      -2.183760240793386
4.4                       0.4                      0.041300834919116944     -2.1754595542168174
4.5                       0.4                      0.03640425943150502      -0.10739302426149305
4.6000000000000005        0.4                      0.0319788477574187       -2.163375922959141
4.7                       0.4                      0.028163629594692513     -0.09674250162964035
4.800000000000001         0.4                      0.02502861607634947      -0.09052701924970319
4.9                       0.4                      0.022293971362846332     -0.08502200125617891
5                         0.4                      0.01981697520057022      -0.08019778086719798
5.1000000000000005        0.4                      0.0177881794149219       -0.07559466522204618
5.2                       0.4                      0.015927408369323312     -0.07190220392396089
5.300000000000001         0.4                      0.014496075453371502     -0.06842209854573998
5.4                       0.4                      0.013120527560457998     -0.06504685043732152
5.5                       0.4                      0.011877977897113968     -0.06208184102843538
5.6000000000000005        0.4                      0.01093764065491613      -0.05939535700258616
5.7                       0.4                      0.010071025114249194     -0.05686559303763987
5.800000000000001         0.4                      0.009317558979996225     -0.05483737569975029
5.9                       0.4                      0.008756506866402305     -0.05242608437183964
6                         0.4                      0.008110033363858996     -0.05050202731971416
6.1000000000000005        0.4                      0.0077495046894336585    -0.04854721202914831
6.2                       0.4                      0.007087345179860745     -0.04709262599249438
6.300000000000001         0.4                      0.006622354969990163     -0.04510375148384363
6.4                       0.4                      0.006307302597742326     -0.04354791024337314
6.5                       0.4                      0.006001944144640665     -0.04203994104107085
6.6000000000000005        0.4                      0.005705838977996492     -0.040577667875201825
6.7                       0.4                      0.005333801424146849     -0.039356834361137676
6.800000000000001         0.4                      0.005183753975946605     -0.038013751215307486
6.9                       0.4                      0.004997436389687557     -0.036629616504190894
7                         0.4                      0.004768233388283725     -0.03545865332830242
7.1000000000000005        0.4                      0.004545486809454827     -0.034320675030608025
7.2                       0.4                      0.004328927635593163     -0.033214307241182885
7.300000000000001         0.4                      0.004118301589782525     -0.032138250898043286
7.4                       0.4                      0.003951791234346011     -0.0311469636312616
7.5                       0.4                      0.0038434858585620533    -0.0301604639155357
7.6000000000000005        0.4                      0.0037380306242461594    -0.02919992471864452
7.7                       0.4                      0.0036353144869254762    -0.028264334591802498
7.800000000000001         0.4                      0.0035682077624595914    -0.02743235102117193
7.9                       0.4                      0.0033877584485519844    -0.0266044575604417
8                         0.4                      0.003211820367492035     -0.02579726143622978
0                         0.5                      0.0018472365866533114    1.980934423214697
0.1                       0.5                      0.006606240114671416     1.986416418504241
0.2                       0.5                      0.013110078027686323     1.9882637580167353
0.30000000000000004       0.5                      0.01933192939756726      1.9915648229023006
0.4                       0.5                      0.02596158918544811      1.9957299772931232
0.5                       0.5                      0.03256770842863155      2.0019387335108627
0.6000000000000001        0.5                      0.038942892127779384     2.008995054857156
0.7000000000000001        0.5                      0.045700187798224524     2.0173913225234625
0.8                       0.5                      0.05238650945313228      2.0270850251719885
0.9                       0.5                      0.059162450381772876     2.03814961303674
1                         0.5                      0.06596881363519191      2.0505940079129363
1.1                       0.5                      0.07280777216280519      2.064435224408081
1.2000000000000002        0.5                      0.07966892962521473      2.079683386201117
1.3                       0.5                      0.086526068782315        2.0963547338316455
